created_at,updated_at,source_file_name,start_year,end_year,race_count,position_points,race_count_mode,id
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,sprint_qualifying_2021.json,2021,2021,,"[{""point"": 3, ""position"": 1}, {""point"": 2, ""position"": 2}, {""point"": 1, ""position"": 3}, {""point"": 0, ""position"": ""fastest_lap""}]",all,7
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,sprint_race_2022.json,2022,2026,,"[{""point"": 8, ""position"": 1}, {""point"": 7, ""position"": 2}, {""point"": 6, ""position"": 3}, {""point"": 5, ""position"": 4}, {""point"": 4, ""position"": 5}, {""point"": 3, ""position"": 6}, {""point"": 2, ""position"": 7}, {""point"": 1, ""position"": 8}, {""point"": 0, ""position"": ""fastest_lap""}]",all,8
2026-02-22 09:43:33.696,2026-02-22 09:43:33.696,1959,1959,1959,5,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": ""fastest_lap""}]",best_of,12
2026-02-22 09:43:33.696,2026-02-22 09:43:33.696,1958,1958,1958,6,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": ""fastest_lap""}]",best_of,11
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,1950_1953,1950,1953,4,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": ""fastest_lap""}]",best_of,9
2026-02-22 09:43:33.696,2026-02-22 09:43:33.696,1954_1957,1954,1957,5,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": ""fastest_lap""}]",best_of,10
2026-02-22 09:43:33.696,2026-02-22 09:43:33.696,1960,1960,1960,6,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": 6}]",best_of,13
2026-02-22 09:43:33.696,2026-02-22 09:43:33.696,1961_1962,1961,1962,5,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": 6}]",best_of,14
2026-02-22 09:43:33.696,2026-02-22 09:43:33.696,1963_1965,1963,1965,6,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": 6}]",best_of,15
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,1991_2002,1991,2002,,"[{""point"": 10, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": 6}, {""point"": 0, ""position"": ""fastest_lap""}]",all,1
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,2003_2009,2003,2009,,"[{""point"": 10, ""position"": 1}, {""point"": 8, ""position"": 2}, {""point"": 6, ""position"": 3}, {""point"": 5, ""position"": 4}, {""point"": 4, ""position"": 5}, {""point"": 3, ""position"": 6}, {""point"": 2, ""position"": 7}, {""point"": 1, ""position"": 8}, {""point"": 0, ""position"": ""fastest_lap""}]",all,2
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,2010_2026,2010,2026,,"[{""point"": 25, ""position"": 1}, {""point"": 18, ""position"": 2}, {""point"": 15, ""position"": 3}, {""point"": 12, ""position"": 4}, {""point"": 10, ""position"": 5}, {""point"": 8, ""position"": 6}, {""point"": 6, ""position"": 7}, {""point"": 4, ""position"": 8}, {""point"": 2, ""position"": 9}, {""point"": 1, ""position"": 10}, {""point"": 0, ""position"": ""fastest_lap""}]",all,3
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,2014,2014,2014,,"[{""point"": 25, ""position"": 1}, {""point"": 18, ""position"": 2}, {""point"": 15, ""position"": 3}, {""point"": 12, ""position"": 4}, {""point"": 10, ""position"": 5}, {""point"": 8, ""position"": 6}, {""point"": 6, ""position"": 7}, {""point"": 4, ""position"": 8}, {""point"": 2, ""position"": 9}, {""point"": 1, ""position"": 10}, {""point"": 0, ""position"": ""fastest_lap""}]",all_plus_last_race_double,4
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,1981_1990,1981,1990,11,"[{""point"": 9, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": 6}, {""point"": 0, ""position"": ""fastest_lap""}]",s,6
2026-02-22 09:43:33.696,2026-02-22 09:43:33.696,1966_1966,1966,1966,6,"[{""point"": 8, ""position"": 1}, {""point"": 6, ""position"": 2}, {""point"": 4, ""position"": 3}, {""point"": 3, ""position"": 4}, {""point"": 2, ""position"": 5}, {""point"": 1, ""position"": 6}]",best_of,16
2026-02-21 21:07:12.13,2026-02-21 21:07:12.13,2019_2024,2019,2024,,"[{""point"": 25, ""position"": 1}, {""point"": 18, ""position"": 2}, {""point"": 15, ""position"": 3}, {""point"": 12, ""position"": 4}, {""point"": 10, ""position"": 5}, {""point"": 8, ""position"": 6}, {""point"": 6, ""position"": 7}, {""point"": 4, ""position"": 8}, {""point"": 2, ""position"": 9}, {""point"": 1, ""position"": 10}, {""point"": 1, ""position"": ""fastest_lap""}]",all,5
