year,short_name,competition_id,rules,notes,id,created_at,updated_at
1947,F1-1947,1,,,80,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1948,F1-1948,1,,,81,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1949,F1-1949,1,,,82,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2023,F1-2023,1,,,3,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2022,F1-2022,1,,,4,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2021,F1-2021,1,,,5,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2020,F1-2020,1,,,6,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2019,F1-2019,1,,,7,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2018,F1-2018,1,,,8,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2017,F1-2017,1,,,9,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2016,F1-2016,1,,,10,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2015,F1-2015,1,,,11,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2014,F1-2014,1,,,12,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2013,F1-2013,1,,,13,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2012,F1-2012,1,,,14,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2011,F1-2011,1,,,15,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2010,F1-2010,1,,,16,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2009,F1-2009,1,,,17,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2008,F1-2008,1,,,18,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2007,F1-2007,1,,,19,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2006,F1-2006,1,,,20,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2005,F1-2005,1,,,21,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2004,F1-2004,1,,,22,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2003,F1-2003,1,,,23,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2002,F1-2002,1,,,24,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2001,F1-2001,1,,,25,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2000,F1-2000,1,,,26,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1999,F1-1999,1,,,27,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1998,F1-1998,1,,,28,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1997,F1-1997,1,,,29,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1996,F1-1996,1,,,30,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1995,F1-1995,1,,,31,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1994,F1-1994,1,,,32,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1993,F1-1993,1,,,33,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1992,F1-1992,1,,,34,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1991,F1-1991,1,,,35,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1990,F1-1990,1,,,36,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1989,F1-1989,1,,,37,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1988,F1-1988,1,,,38,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1987,F1-1987,1,,,39,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1986,F1-1986,1,,,40,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1985,F1-1985,1,,,41,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1984,F1-1984,1,,,42,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1983,F1-1983,1,,,43,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1982,F1-1982,1,,,44,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1981,F1-1981,1,,,45,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1980,F1-1980,1,,,46,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1979,F1-1979,1,,,47,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1978,F1-1978,1,,,48,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1977,F1-1977,1,,,49,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1976,F1-1976,1,,,50,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1975,F1-1975,1,,,51,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1974,F1-1974,1,,,52,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1973,F1-1973,1,,,53,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1972,F1-1972,1,,,54,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1971,F1-1971,1,,,55,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1970,F1-1970,1,,,56,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1969,F1-1969,1,,,57,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1968,F1-1968,1,,,58,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1967,F1-1967,1,,,59,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1966,F1-1966,1,,,60,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1965,F1-1965,1,,,61,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1964,F1-1964,1,,,62,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1963,F1-1963,1,,,63,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1962,F1-1962,1,,,64,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1961,F1-1961,1,,,65,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1960,F1-1960,1,,,66,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1959,F1-1959,1,,,67,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1958,F1-1958,1,,,68,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1957,F1-1957,1,,,69,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1956,F1-1956,1,,,70,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1955,F1-1955,1,,,71,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1954,F1-1954,1,,,72,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1953,F1-1953,1,,,73,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1952,F1-1952,1,,,74,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1951,F1-1951,1,,,75,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1950,F1-1950,1,string,string,1,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2024,F1-2024,1,"","",77,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2025,F1-2025,1,"","",78,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2026,F1-2026,1,"","",79,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
